family	test	reference_count
legacy-router	tests/InstallationProcess/checklist_asset_current_source_manual_test.php	1
legacy-router	tests/InstallationProcess/local_rbac_objects_route_admission_001_test.php	1
legacy-router	tests/InstallationProcess/pilot_http_auth_001_test.php	2
legacy-router	tests/InstallationProcess/pilot_object_card_001_test.php	1
legacy-router	tests/InstallationProcess/pilot_object_list_001_test.php	1
legacy-router	tests/InstallationProcess/pilot_route_csp_login_001_test.php	1
legacy-router	tests/InstallationProcess/pilot_session_storage_local_auth_canonical_001_test.php	1
legacy-router	tests/InstallationProcess/pilot_session_storage_local_auth_lifecycle_001_test.php	1
legacy-router	tests/InstallationProcess/pilot_session_storage_protocol_001_test.php	1
legacy-router	tests/InstallationProcess/pilot_shlz_assets_001_test.php	1
legacy-router	tests/InstallationProcess/pilot_ui_shell_001_test.php	1
legacy-router	tests/Runtime/production_runtime_contract_001_test.php	1
legacy-router	tests/Support/SelectionHttpFixture.php	1
legacy-router	tests/Support/inspection_planning_runtime_router.php	1
legacy-router	tests/Support/installation_completion_runtime_router.php	1
legacy-router	tests/Support/pilot_prepare_renderer_spy_router.php	1
legacy-router	tests/Support/production_bootstrap_application_shadow.php	1
legacy-router	tests/Support/production_bootstrap_factory_shadow.php	1
legacy-router	tests/Support/production_http_router_probe.php	1
legacy-router	tests/Support/shlz_manifest_capture_witness.php	2
legacy-router	tests/Verification/pilot_entrypoint_load_001_test.php	1
legacy-auth	tests/AssignmentOrderComposition/selection_http_admission_001_test.php	1
legacy-auth	tests/InstallationProcess/identity_access_runtime_ddl_001_test.php	4
legacy-auth	tests/InstallationProcess/identity_access_schema_001_test.php	1
legacy-auth	tests/InstallationProcess/local_rbac_objects_route_admission_001_test.php	4
legacy-auth	tests/InstallationProcess/pilot_object_card_001_test.php	6
legacy-auth	tests/InstallationProcess/pilot_object_list_001_test.php	20
legacy-auth	tests/InstallationProcess/pilot_prepare_form_001_test.php	12
legacy-auth	tests/InstallationProcess/pilot_ui_shell_001_test.php	1
legacy-auth	tests/Support/inspection_item_complete_local_auth_router.php	3
legacy-auth	tests/Support/inspection_planning_runtime_router.php	2
legacy-auth	tests/Support/installation_completion_runtime_router.php	2
legacy-auth	tests/Support/pilot_healthcheck_session_router.php	2
legacy-auth	tests/Verification/characterize_inspection_schedule_duplicate_001_test.php	2
custom-session	tests/AssignmentOrderComposition/manual_checklist_http_smoke_test.php	3
custom-session	tests/InstallationProcess/identity_access_runtime_ddl_001_test.php	2
custom-session	tests/InstallationProcess/inspection_item_complete_001_endpoint_admission_test.php	3
custom-session	tests/InstallationProcess/pilot_local_trusted_scheme_001_test.php	2
custom-session	tests/InstallationProcess/pilot_session_codec_request_owner_001_test.php	2
custom-session	tests/InstallationProcess/pilot_session_shared_auth_command_001_test.php	7
custom-session	tests/InstallationProcess/pilot_session_storage_accepted_payload_http_001_test.php	4
custom-session	tests/InstallationProcess/pilot_session_storage_collisions_001_test.php	4
custom-session	tests/InstallationProcess/pilot_session_storage_concurrency_gc_001_test.php	6
custom-session	tests/InstallationProcess/pilot_session_storage_crash_001_test.php	4
custom-session	tests/InstallationProcess/pilot_session_storage_crash_regions_001_test.php	4
custom-session	tests/InstallationProcess/pilot_session_storage_faults_001_test.php	4
custom-session	tests/InstallationProcess/pilot_session_storage_filesystem_001_test.php	6
custom-session	tests/InstallationProcess/pilot_session_storage_gc_order_001_test.php	4
custom-session	tests/InstallationProcess/pilot_session_storage_inspector_001_test.php	3
custom-session	tests/InstallationProcess/pilot_session_storage_inspector_cli_application_001_test.php	3
custom-session	tests/InstallationProcess/pilot_session_storage_lifecycle_faults_001_test.php	5
custom-session	tests/InstallationProcess/pilot_session_storage_local_auth_canonical_001_test.php	1
custom-session	tests/InstallationProcess/pilot_session_storage_local_auth_faults_001_test.php	5
custom-session	tests/InstallationProcess/pilot_session_storage_local_auth_lifecycle_001_test.php	1
custom-session	tests/InstallationProcess/pilot_session_storage_local_auth_return_to_001_test.php	4
custom-session	tests/InstallationProcess/pilot_session_storage_lock_clock_001_test.php	4
custom-session	tests/InstallationProcess/pilot_session_storage_malformed_payload_http_001_test.php	4
custom-session	tests/InstallationProcess/pilot_session_storage_payload_handoff_001_test.php	4
custom-session	tests/InstallationProcess/pilot_session_storage_protocol_001_test.php	2
custom-session	tests/InstallationProcess/pilot_session_storage_sequential_write_identity_001_test.php	5
custom-session	tests/InstallationProcess/pilot_session_storage_user_access_fault_001_test.php	11
custom-session	tests/InstallationProcess/pilot_session_storage_user_access_tokens_001_test.php	6
custom-session	tests/InstallationProcess/pilot_session_storage_validation_001_test.php	4
custom-session	tests/Runtime/production_runtime_restart_browser.mjs	1
custom-session	tests/Runtime/session_contention_worker.php	4
custom-session	tests/Support/PilotSessionInspectorCliFixture.php	2
custom-session	tests/Support/SelectionHttpFixture.php	3
custom-session	tests/Support/pilot_session_storage_compose_restart_verifier.php	1
custom-session	tests/Support/pilot_session_storage_crash_runner.php	3
custom-session	tests/Support/pilot_session_storage_http_fault_router.php	1
custom-session	tests/Support/pilot_session_storage_http_router.php	1
custom-session	tests/Support/pilot_session_storage_local_auth_fault_common.php	1
custom-session	tests/Support/pilot_session_storage_user_access_fault_router.php	1
custom-session	tests/Support/pilot_session_storage_user_access_router.php	1
custom-session	tests/Verification/pilot_healthcheck_cookie_failure_001_test.py	1
custom-session	tests/Verification/pilot_healthcheck_session_001_test.py	1
custom-session	tests/Yii2/yii2_authentication_001_test.php	1
legacy-runtime-packaging	tests/InstallationProcess/checklist_template_schema_001_test.php	2
legacy-runtime-packaging	tests/InstallationProcess/classification_provenance_schema_001_test.php	2
legacy-runtime-packaging	tests/InstallationProcess/docker_bootstrap_manual_pilot_test.php	1
legacy-runtime-packaging	tests/InstallationProcess/identity_access_schema_001_test.php	2
legacy-runtime-packaging	tests/InstallationProcess/inspection_evidence_schema_001_test.php	2
legacy-runtime-packaging	tests/InstallationProcess/inspection_item_complete_001_endpoint_admission_test.php	1
legacy-runtime-packaging	tests/InstallationProcess/inspection_item_complete_001_mariadb_test.php	1
legacy-runtime-packaging	tests/InstallationProcess/inspection_item_complete_001_schema_drift_test.php	1
legacy-runtime-packaging	tests/InstallationProcess/inspection_planning_runtime_ddl_001_test.php	1
legacy-runtime-packaging	tests/InstallationProcess/inspection_planning_schema_001_test.php	2
legacy-runtime-packaging	tests/InstallationProcess/installation_completion_runtime_ddl_001_test.php	1
legacy-runtime-packaging	tests/InstallationProcess/installation_completion_schema_001_test.php	1
legacy-runtime-packaging	tests/InstallationProcess/object_detail_snapshot_schema_001_test.php	1
legacy-runtime-packaging	tests/InstallationProcess/pilot_case_import_001_test.php	1
legacy-runtime-packaging	tests/InstallationProcess/pilot_http_auth_001_test.php	1
legacy-runtime-packaging	tests/InstallationProcess/pilot_object_card_001_test.php	1
legacy-runtime-packaging	tests/InstallationProcess/production_migration_runner_001_test.php	1
legacy-runtime-packaging	tests/InstallationProcess/selection_canonical_registration_001_test.php	1
legacy-runtime-packaging	tests/InstallationProcess/workforce_canonical_runner_001_test.php	2
legacy-runtime-packaging	tests/Jobs/jobs_runtime_cli_001_test.php	1
legacy-runtime-packaging	tests/Jobs/jobs_runtime_contract_001_test.php	4
legacy-runtime-packaging	tests/Runtime/production_runtime_browser_001_test.php	1
legacy-runtime-packaging	tests/Runtime/production_runtime_compose_001_test.php	2
legacy-runtime-packaging	tests/Runtime/production_runtime_contract_001_test.php	8
legacy-runtime-packaging	tests/Runtime/runtime_jobs_recovery_001_test.php	1
legacy-runtime-packaging	tests/Runtime/runtime_recovery_001_test.php	1
legacy-runtime-packaging	tests/Runtime/runtime_recovery_forward_update_001_test.php	2
legacy-runtime-packaging	tests/Support/AssignmentOrderOriginalAttemptAuditDatabase.php	1
legacy-runtime-packaging	tests/Verification/development_setup_001_test.py	1
legacy-runtime-packaging	tests/Verification/harness_canonical_migration_stage_001_test.php	1
legacy-runtime-packaging	tests/Verification/harness_image_canonical_runner_001_test.php	2
